Date,Type,Side,PnL_Pct,Reason,Capital
2024-12-28 20:00:00,REV,SHORT,-1.69,SL_HIT,983.11
2024-12-29 10:00:00,REV,LONG,0.38,TP_MEAN,986.89
2024-12-29 16:00:00,REV,LONG,-0.79,SL_HIT,979.13
2024-12-29 22:30:00,REV,LONG,0.66,TP_MEAN,985.55
2024-12-30 00:00:00,REV,SHORT,-0.75,SL_HIT,978.11
2024-12-30 12:30:00,REV,SHORT,0.9,TP_MEAN,986.88
2024-12-31 00:15:00,REV,LONG,-1.63,SL_HIT,970.79
2024-12-31 10:15:00,REV,SHORT,1.28,TP_MEAN,983.24
2024-12-31 13:45:00,REV,SHORT,-1.12,SL_HIT,972.22
2025-01-01 03:45:00,REV,SHORT,0.93,TP_MEAN,981.25
2025-01-01 17:00:00,REV,SHORT,1.24,TP_MEAN,993.4
2025-01-02 01:45:00,REV,SHORT,1.25,TP_MEAN,1005.78
2025-01-02 07:15:00,REV,SHORT,-1.6,SL_HIT,989.7
2025-01-02 17:30:00,REV,SHORT,0.87,TP_MEAN,998.35
2025-01-02 23:30:00,REV,LONG,0.36,TP_MEAN,1001.97
2025-01-03 02:15:00,REV,LONG,0.52,TP_MEAN,1007.15
2025-01-03 09:15:00,REV,LONG,0.48,TP_MEAN,1012.01
2025-01-04 00:30:00,REV,LONG,-0.8,SL_HIT,1003.94
2025-01-04 08:00:00,REV,SHORT,0.89,TP_MEAN,1012.88
2025-01-05 00:45:00,REV,LONG,-0.81,SL_HIT,1004.69
2025-01-05 04:00:00,REV,LONG,0.18,TP_MEAN,1006.5
2025-01-05 10:30:00,REV,LONG,0.53,TP_MEAN,1011.82
2025-01-05 13:45:00,REV,SHORT,0.3,TP_MEAN,1014.88
2025-01-05 18:30:00,REV,LONG,0.62,TP_MEAN,1021.21
2025-01-06 00:45:00,REV,LONG,-0.72,SL_HIT,1013.87
2025-01-06 08:30:00,REV,LONG,-1.29,SL_HIT,1000.8
2025-01-06 14:15:00,REV,SHORT,0.54,TP_MEAN,1006.2
2025-01-06 16:15:00,REV,SHORT,-1.7,SL_HIT,989.12
2025-01-07 09:45:00,REV,LONG,-0.66,SL_HIT,982.63
2025-01-08 01:00:00,REV,SHORT,0.7,TP_MEAN,989.52
2025-01-08 04:45:00,REV,LONG,-1.34,SL_HIT,976.26
2025-01-08 13:30:00,REV,LONG,1.05,TP_MEAN,986.52
2025-01-08 16:45:00,REV,LONG,-1.09,SL_HIT,975.73
2025-01-09 02:00:00,REV,SHORT,1.47,TP_MEAN,990.1
2025-01-09 13:45:00,REV,LONG,-1.25,SL_HIT,977.77
2025-01-10 04:45:00,REV,SHORT,0.45,TP_MEAN,982.17
2025-01-10 06:45:00,REV,SHORT,-1.53,SL_HIT,967.18
2025-01-10 16:30:00,REV,LONG,-0.35,TIME_STOP,963.77
2025-01-11 01:30:00,REV,LONG,-0.8,SL_HIT,956.02
2025-01-11 11:30:00,REV,SHORT,-1.03,SL_HIT,946.16
2025-01-11 20:45:00,REV,SHORT,-0.79,SL_HIT,938.65
2025-01-12 05:15:00,REV,SHORT,-0.72,SL_HIT,931.93
2025-01-12 10:30:00,REV,LONG,1.03,TP_MEAN,941.55
2025-01-12 15:15:00,REV,SHORT,1.15,TP_MEAN,952.38
2025-01-12 22:15:00,REV,LONG,-1.23,SL_HIT,940.63
2025-01-13 01:15:00,REV,SHORT,1.62,TP_MEAN,955.88
2025-01-14 08:45:00,REV,LONG,0.54,TP_MEAN,961.03
2025-01-14 11:30:00,REV,SHORT,1.13,TP_MEAN,971.85
2025-01-14 22:45:00,REV,SHORT,-0.81,SL_HIT,963.97
2025-01-15 08:00:00,REV,SHORT,0.5,TP_MEAN,968.78
2025-01-15 09:45:00,REV,LONG,-1.03,SL_HIT,958.82
2025-01-15 21:45:00,REV,SHORT,1.3,TP_MEAN,971.25
2025-01-16 01:45:00,REV,LONG,0.97,TP_MEAN,980.72
2025-01-16 06:15:00,REV,LONG,0.43,TP_MEAN,984.98
2025-01-16 14:30:00,REV,SHORT,1.44,TP_MEAN,999.13
2025-01-17 00:30:00,REV,LONG,0.37,TP_MEAN,1002.82
2025-01-17 09:00:00,REV,SHORT,-1.16,SL_HIT,991.16
2025-01-17 23:15:00,REV,SHORT,-0.81,TIME_STOP,983.14
2025-01-18 01:30:00,REV,SHORT,1.19,TP_MEAN,994.86
2025-01-18 03:30:00,REV,LONG,-1.52,SL_HIT,979.71
2025-01-18 11:30:00,REV,LONG,1.19,TP_MEAN,991.39
2025-01-18 14:30:00,REV,SHORT,1.66,TP_MEAN,1007.86
2025-01-18 19:15:00,REV,LONG,0.96,TP_MEAN,1017.54
2025-01-19 00:00:00,REV,SHORT,1.02,TP_MEAN,1027.87
2025-01-19 02:30:00,REV,SHORT,-1.71,SL_HIT,1010.24
2025-01-21 09:45:00,REV,SHORT,-2.06,SL_HIT,989.46
2025-01-21 16:00:00,REV,LONG,1.71,TP_MEAN,1006.42
2025-01-21 22:00:00,TREND,LONG,-0.21,TREND_BROKEN,1004.3
2025-01-22 01:30:00,REV,LONG,-1.62,SL_HIT,988.03
2025-01-22 08:15:00,REV,LONG,-1.17,SL_HIT,976.5
2025-01-23 00:15:00,REV,LONG,0.7,TP_MEAN,983.32
2025-01-23 01:45:00,REV,LONG,-1.55,SL_HIT,968.12
2025-01-23 14:15:00,REV,SHORT,-1.06,SL_HIT,957.81
2025-01-24 05:30:00,REV,SHORT,-1.61,SL_HIT,942.36
2025-01-24 13:30:00,REV,SHORT,1.06,TP_MEAN,952.38
2025-01-24 16:00:00,REV,LONG,1.41,TP_MEAN,965.77
2025-01-24 20:45:00,REV,LONG,-1.4,SL_HIT,952.25
2025-01-25 10:45:00,REV,LONG,0.54,TP_MEAN,957.35
2025-01-25 12:30:00,REV,SHORT,0.56,TP_MEAN,962.75
2025-01-25 15:30:00,REV,SHORT,-0.86,SL_HIT,954.49
2025-01-26 00:15:00,REV,LONG,0.44,TP_MEAN,958.71
2025-01-26 04:15:00,REV,SHORT,-0.93,SL_HIT,949.79
2025-01-26 11:00:00,REV,LONG,0.84,TP_MEAN,957.79
2025-01-26 17:00:00,REV,SHORT,-0.66,SL_HIT,951.47
2025-01-26 20:30:00,REV,SHORT,0.5,TP_MEAN,956.27
2025-01-26 22:00:00,REV,LONG,-1.33,SL_HIT,943.59
2025-01-27 07:15:00,REV,LONG,-1.84,SL_HIT,926.26
2025-01-27 13:00:00,REV,SHORT,-1.58,SL_HIT,911.64
2025-01-27 20:15:00,REV,LONG,1.37,TP_MEAN,924.18
2025-01-28 02:15:00,REV,LONG,1.18,TP_MEAN,935.04
2025-01-28 14:00:00,REV,LONG,-0.99,SL_HIT,925.76
2025-01-28 23:45:00,REV,LONG,-0.5,TIME_STOP,921.14
2025-01-29 04:15:00,REV,SHORT,-1.54,SL_HIT,906.92
2025-01-29 14:30:00,REV,LONG,-1.42,SL_HIT,894.02
2025-01-29 19:00:00,REV,SHORT,1.18,TP_MEAN,904.54
2025-01-30 09:45:00,REV,SHORT,-1.02,SL_HIT,895.28
2025-01-30 14:00:00,REV,SHORT,-1.57,SL_HIT,881.26
2025-01-30 20:30:00,REV,SHORT,0.87,TP_MEAN,888.9
2025-01-31 08:15:00,REV,SHORT,1.23,TP_MEAN,899.82
2025-01-31 14:15:00,REV,SHORT,-1.34,TIME_STOP,887.77
2025-02-01 03:15:00,REV,LONG,-0.78,TIME_STOP,880.88
2025-02-01 06:30:00,REV,LONG,-1.22,TIME_STOP,870.11
2025-02-01 09:45:00,REV,LONG,-1.21,SL_HIT,859.56
2025-02-01 11:00:00,REV,LONG,-1.98,SL_HIT,842.58
2025-02-01 19:45:00,REV,LONG,-1.2,SL_HIT,832.47
2025-02-02 05:30:00,REV,LONG,0.68,TP_MEAN,838.14
2025-02-02 11:45:00,REV,LONG,-1.29,SL_HIT,827.34
2025-02-02 16:30:00,REV,LONG,-1.4,SL_HIT,815.75
2025-02-03 05:45:00,TREND,SHORT,9.87,TREND_BROKEN,896.3
2025-02-04 00:15:00,TREND,LONG,10.42,TREND_BROKEN,989.67
2025-02-04 12:30:00,REV,SHORT,-2.05,SL_HIT,969.36
2025-02-04 19:45:00,REV,SHORT,2.03,TP_MEAN,989.08
2025-02-05 08:45:00,REV,SHORT,-0.0,TIME_STOP,989.03
2025-02-05 12:45:00,REV,SHORT,1.34,TP_MEAN,1002.27
2025-02-05 16:00:00,REV,LONG,-1.74,SL_HIT,984.82
2025-02-06 07:00:00,REV,SHORT,0.83,TP_MEAN,993.04
2025-02-06 14:30:00,REV,LONG,-1.43,SL_HIT,978.81
2025-02-06 22:45:00,REV,LONG,0.93,TP_MEAN,987.87
2025-02-07 00:00:00,REV,LONG,1.31,TP_MEAN,1000.79
2025-02-07 04:30:00,REV,SHORT,0.89,TP_MEAN,1009.72
2025-02-07 07:15:00,REV,LONG,1.51,TP_MEAN,1024.98
2025-02-07 11:45:00,REV,SHORT,-2.05,SL_HIT,1003.97
2025-02-08 09:15:00,REV,LONG,0.87,TP_MEAN,1012.75
2025-02-08 19:30:00,REV,SHORT,-1.33,SL_HIT,999.26
2025-02-08 23:00:00,REV,LONG,0.66,TP_MEAN,1005.87
2025-02-09 01:30:00,REV,SHORT,-0.98,SL_HIT,996.01
2025-02-09 13:45:00,REV,LONG,-1.22,SL_HIT,983.88
2025-02-09 20:30:00,REV,LONG,1.18,TP_MEAN,995.54
2025-02-09 21:30:00,REV,LONG,-1.57,SL_HIT,979.92
2025-02-10 10:30:00,REV,SHORT,1.04,TP_MEAN,990.15
2025-02-10 14:30:00,REV,SHORT,2.02,TP_MEAN,1010.13
2025-02-10 20:15:00,REV,SHORT,1.11,TP_MEAN,1021.39
2025-02-11 03:30:00,REV,SHORT,0.7,TIME_STOP,1028.51
2025-02-11 09:45:00,REV,LONG,0.36,TP_MEAN,1032.26
2025-02-11 10:15:00,TREND,SHORT,-0.57,SL_HIT,1026.33
2025-02-11 11:30:00,REV,LONG,0.46,TP_MEAN,1031.07
2025-02-11 13:15:00,REV,LONG,-0.96,SL_HIT,1021.15
2025-02-11 19:30:00,REV,LONG,-1.58,SL_HIT,1004.97
2025-02-12 05:15:00,REV,LONG,0.82,TP_MEAN,1013.17
2025-02-12 09:15:00,REV,SHORT,0.37,TP_MEAN,1016.88
2025-02-13 08:45:00,REV,LONG,-1.14,SL_HIT,1005.29
2025-02-13 11:30:00,REV,SHORT,1.18,TP_MEAN,1017.11
2025-02-13 19:30:00,REV,SHORT,1.32,TP_MEAN,1030.56
2025-02-13 22:15:00,REV,SHORT,1.2,TP_MEAN,1042.91
2025-02-14 03:45:00,REV,SHORT,-1.02,SL_HIT,1032.22
2025-02-14 15:15:00,REV,SHORT,1.15,TP_MEAN,1044.05
2025-02-14 17:30:00,REV,SHORT,-1.31,SL_HIT,1030.42
2025-02-15 02:00:00,REV,LONG,1.16,TP_MEAN,1042.41
2025-02-15 07:15:00,REV,LONG,-0.79,SL_HIT,1034.19
2025-02-15 14:30:00,REV,LONG,-0.55,SL_HIT,1028.52
2025-02-15 22:00:00,REV,LONG,0.68,TP_MEAN,1035.54
2025-02-16 07:00:00,REV,SHORT,0.6,TP_MEAN,1041.79
2025-02-17 03:00:00,REV,SHORT,0.96,TP_MEAN,1051.82
2025-02-17 22:45:00,REV,SHORT,1.34,TP_MEAN,1065.95
2025-02-18 06:00:00,REV,LONG,-1.62,SL_HIT,1048.64
2025-02-18 12:30:00,REV,SHORT,-1.52,SL_HIT,1032.71
2025-02-18 14:45:00,REV,LONG,-1.05,SL_HIT,1021.86
2025-02-18 21:30:00,REV,SHORT,-1.26,SL_HIT,1008.99
2025-02-19 04:15:00,REV,SHORT,0.77,TP_MEAN,1016.75
2025-02-19 15:30:00,REV,LONG,1.16,TP_MEAN,1028.55
2025-02-19 21:45:00,REV,SHORT,1.02,TP_MEAN,1039.02
2025-02-20 04:15:00,REV,SHORT,-0.96,SL_HIT,1029.02
2025-02-20 12:00:00,REV,SHORT,-0.83,SL_HIT,1020.44
2025-02-20 14:45:00,REV,SHORT,0.82,TP_MEAN,1028.81
2025-02-20 21:30:00,REV,SHORT,0.79,TP_MEAN,1036.91
2025-02-21 05:45:00,REV,SHORT,0.77,TP_MEAN,1044.85
2025-02-21 10:00:00,REV,SHORT,-0.78,SL_HIT,1036.69
2025-02-21 14:30:00,REV,SHORT,0.89,TP_MEAN,1045.96
2025-02-21 15:30:00,REV,LONG,-1.46,SL_HIT,1030.69
2025-02-22 12:00:00,REV,SHORT,0.53,TP_MEAN,1036.18
2025-02-23 00:15:00,REV,LONG,0.37,TP_MEAN,1040.06
2025-02-23 03:00:00,REV,LONG,-0.6,SL_HIT,1033.77
2025-02-23 07:15:00,REV,SHORT,-0.73,SL_HIT,1026.26
2025-02-23 14:15:00,REV,LONG,0.55,TP_MEAN,1031.9
2025-02-23 16:45:00,REV,LONG,0.58,TP_MEAN,1037.88
2025-02-24 01:00:00,REV,SHORT,0.6,TP_MEAN,1044.09
2025-02-24 03:30:00,REV,LONG,-1.7,SL_HIT,1026.39
2025-02-24 09:15:00,REV,LONG,1.34,TP_MEAN,1040.1
2025-02-24 15:00:00,REV,LONG,-1.26,SL_HIT,1027.0
2025-02-25 14:15:00,TREND,LONG,-1.68,TREND_BROKEN,1009.75
2025-02-25 22:00:00,REV,SHORT,-2.03,SL_HIT,989.23
2025-02-26 05:45:00,REV,SHORT,0.64,TP_MEAN,995.6
2025-02-26 09:15:00,REV,LONG,1.11,TP_MEAN,1006.6
2025-02-26 12:15:00,REV,SHORT,1.44,TP_MEAN,1021.12
2025-02-26 20:30:00,TREND,SHORT,-0.58,TREND_BROKEN,1015.25
2025-02-27 09:45:00,REV,SHORT,0.73,TP_MEAN,1022.69
2025-02-27 12:15:00,REV,LONG,-0.91,SL_HIT,1013.43
2025-02-27 17:45:00,REV,LONG,1.34,TP_MEAN,1027.06
2025-02-27 20:00:00,REV,LONG,-1.2,SL_HIT,1014.74
2025-02-28 14:00:00,REV,SHORT,-1.6,SL_HIT,998.54
2025-03-01 00:15:00,REV,SHORT,0.99,TP_MEAN,1008.4
2025-03-01 07:30:00,REV,LONG,-1.28,SL_HIT,995.48
2025-03-01 11:00:00,REV,LONG,-1.32,SL_HIT,982.32
2025-03-01 23:15:00,REV,SHORT,1.32,TP_MEAN,995.3
2025-03-02 04:45:00,REV,SHORT,0.55,TP_MEAN,1000.77
2025-03-02 07:00:00,REV,SHORT,0.45,TP_MEAN,1005.29
2025-03-02 09:15:00,REV,LONG,0.6,TP_MEAN,1011.31
2025-03-02 11:15:00,REV,SHORT,0.73,TP_MEAN,1018.65
2025-03-03 02:15:00,REV,LONG,-2.03,SL_HIT,998.02
2025-03-03 06:30:00,REV,LONG,-1.19,SL_HIT,986.18
2025-03-04 01:30:00,REV,LONG,-1.66,SL_HIT,969.78
2025-03-05 04:15:00,REV,SHORT,-1.14,SL_HIT,958.69
2025-03-06 13:45:00,REV,LONG,-1.93,SL_HIT,940.23
2025-03-07 00:15:00,REV,LONG,-1.05,SL_HIT,930.32
2025-03-07 07:30:00,REV,SHORT,0.78,TP_MEAN,937.54
2025-03-07 08:00:00,REV,SHORT,0.81,TP_MEAN,945.12
2025-03-07 13:30:00,REV,LONG,1.53,TP_MEAN,959.55
2025-03-07 17:45:00,REV,LONG,1.34,TP_MEAN,972.44
2025-03-08 07:45:00,REV,LONG,-1.28,SL_HIT,959.96
2025-03-08 10:30:00,REV,LONG,0.41,TP_MEAN,963.91
2025-03-08 19:15:00,REV,SHORT,-1.63,SL_HIT,948.22
2025-03-09 03:45:00,REV,LONG,0.67,TP_MEAN,954.59
2025-03-09 09:45:00,REV,LONG,-1.17,SL_HIT,943.41
2025-03-09 14:15:00,REV,LONG,1.46,TP_MEAN,957.16
2025-03-09 17:30:00,REV,LONG,-2.03,SL_HIT,937.69
2025-03-10 10:15:00,REV,SHORT,2.51,TP_MEAN,961.22
2025-03-10 14:00:00,REV,LONG,-1.94,SL_HIT,942.59
2025-03-11 12:00:00,REV,LONG,-1.42,SL_HIT,929.24
2025-03-12 01:15:00,REV,LONG,0.76,TP_MEAN,936.33
2025-03-12 03:15:00,REV,LONG,-1.71,SL_HIT,920.35
2025-03-13 00:00:00,REV,SHORT,-0.19,TIME_STOP,918.58
2025-03-13 04:15:00,REV,LONG,-0.75,SL_HIT,911.68
2025-03-13 08:45:00,REV,LONG,0.82,TP_MEAN,919.12
2025-03-13 12:30:00,REV,SHORT,0.45,TP_MEAN,923.25
2025-03-13 13:45:00,REV,LONG,-1.08,SL_HIT,913.26
2025-03-14 05:00:00,REV,SHORT,0.34,TP_MEAN,916.36
2025-03-14 06:30:00,REV,LONG,1.14,TP_MEAN,926.81
2025-03-14 12:15:00,REV,SHORT,0.09,TIME_STOP,927.65
2025-03-14 14:00:00,REV,SHORT,0.98,TP_MEAN,936.71
2025-03-14 23:30:00,REV,SHORT,0.8,TP_MEAN,944.21
2025-03-15 04:45:00,REV,SHORT,-1.01,SL_HIT,934.66
2025-03-15 15:45:00,REV,LONG,0.66,TP_MEAN,940.86
2025-03-16 11:00:00,REV,LONG,-0.98,SL_HIT,931.6
2025-03-16 18:45:00,REV,SHORT,0.39,TP_MEAN,935.22
2025-03-17 02:15:00,REV,SHORT,-1.09,SL_HIT,925.08
2025-03-17 07:15:00,REV,LONG,1.17,TP_MEAN,935.88
2025-03-17 10:15:00,REV,SHORT,-1.32,SL_HIT,923.54
2025-03-17 18:15:00,REV,SHORT,-1.37,SL_HIT,910.89
2025-03-18 01:15:00,REV,LONG,-0.81,SL_HIT,903.48
2025-03-18 13:15:00,REV,LONG,-0.62,TIME_STOP,897.9
2025-03-18 14:30:00,REV,LONG,1.44,TP_MEAN,910.81
2025-03-18 22:45:00,REV,SHORT,0.73,TP_MEAN,917.5
2025-03-19 00:15:00,REV,SHORT,-0.92,SL_HIT,909.02
2025-03-19 10:30:00,REV,SHORT,-0.76,SL_HIT,902.13
2025-03-20 00:15:00,REV,SHORT,1.3,TP_MEAN,913.9
2025-03-20 03:30:00,REV,LONG,-0.16,TIME_STOP,912.42
2025-03-20 09:15:00,REV,SHORT,0.57,TP_MEAN,917.65
2025-03-20 10:15:00,REV,LONG,-0.86,SL_HIT,909.77
2025-03-20 15:00:00,REV,SHORT,1.36,TP_MEAN,922.09
2025-03-20 18:15:00,REV,LONG,1.28,TP_MEAN,933.87
2025-03-21 00:00:00,REV,SHORT,-1.26,SL_HIT,922.13
2025-03-21 07:45:00,REV,LONG,0.25,TP_MEAN,924.48
2025-03-21 12:00:00,REV,LONG,0.13,TP_MEAN,925.68
2025-03-21 16:15:00,REV,LONG,-0.02,TIME_STOP,925.49
2025-03-21 20:30:00,REV,SHORT,-0.88,TIME_STOP,917.3
2025-03-22 09:45:00,REV,SHORT,-0.86,SL_HIT,909.43
2025-03-22 21:00:00,REV,SHORT,0.29,TP_MEAN,912.05
2025-03-23 01:15:00,REV,LONG,0.48,TP_MEAN,916.38
2025-03-23 05:00:00,REV,SHORT,0.41,TP_MEAN,920.18
2025-03-23 07:45:00,REV,SHORT,-0.89,SL_HIT,912.03
2025-03-23 11:45:00,REV,SHORT,0.59,TP_MEAN,917.42
2025-03-23 16:15:00,REV,LONG,-0.78,SL_HIT,910.26
2025-03-23 21:00:00,REV,SHORT,0.87,TP_MEAN,918.18
2025-03-24 00:15:00,REV,SHORT,0.57,TP_MEAN,923.42
2025-03-24 14:00:00,REV,LONG,0.63,TP_MEAN,929.27
2025-03-24 18:15:00,REV,SHORT,0.61,TP_MEAN,934.92
2025-03-24 23:15:00,REV,LONG,-0.76,SL_HIT,927.81
2025-03-25 06:00:00,REV,LONG,0.24,TP_MEAN,930.02
2025-03-25 11:45:00,REV,SHORT,0.15,TP_MEAN,931.39
2025-03-25 14:30:00,REV,LONG,1.08,TP_MEAN,941.45
2025-03-25 20:45:00,REV,SHORT,0.66,TP_MEAN,947.69
2025-03-26 00:15:00,REV,LONG,0.55,TP_MEAN,952.9
2025-03-26 02:45:00,REV,LONG,-0.85,SL_HIT,944.77
2025-03-26 07:15:00,REV,SHORT,-1.11,SL_HIT,934.33
2025-03-26 20:30:00,REV,LONG,1.06,TP_MEAN,944.19
2025-03-27 02:45:00,REV,SHORT,-1.29,SL_HIT,932.0
2025-03-27 10:45:00,REV,SHORT,0.56,TP_MEAN,937.22
2025-03-27 12:30:00,REV,LONG,0.56,TP_MEAN,942.5
2025-03-28 03:00:00,REV,SHORT,0.9,TP_MEAN,951.02
2025-03-28 11:15:00,REV,LONG,1.02,TP_MEAN,960.68
2025-03-28 14:00:00,REV,LONG,-1.33,SL_HIT,947.94
2025-03-28 20:45:00,REV,SHORT,0.94,TP_MEAN,956.83
2025-03-28 23:30:00,REV,SHORT,-1.05,SL_HIT,946.81
2025-03-29 07:45:00,REV,SHORT,-1.1,SL_HIT,936.4
2025-03-29 13:15:00,REV,LONG,0.87,TP_MEAN,944.51
2025-03-30 02:30:00,REV,SHORT,0.81,TP_MEAN,952.2
2025-03-30 08:30:00,REV,LONG,0.74,TP_MEAN,959.25
2025-03-30 15:15:00,REV,LONG,0.72,TP_MEAN,966.19
2025-03-30 18:00:00,REV,LONG,0.72,TP_MEAN,973.19
2025-03-30 19:00:00,REV,SHORT,-1.03,SL_HIT,963.15
2025-03-31 00:30:00,REV,LONG,-1.58,SL_HIT,947.89
2025-03-31 08:30:00,REV,LONG,-1.66,SL_HIT,932.11
2025-04-01 00:45:00,REV,SHORT,0.8,TP_MEAN,939.57
2025-04-01 06:30:00,REV,SHORT,-1.18,SL_HIT,928.48
2025-04-01 08:30:00,REV,SHORT,-1.75,SL_HIT,912.23
2025-04-01 14:45:00,REV,LONG,1.41,TP_MEAN,925.07
2025-04-01 18:00:00,REV,SHORT,0.58,TP_MEAN,930.46
